X,Y,Linha
204999.573607775,7230497.480810665,18662075
204999.442722018,7230496.156194145,18662075
204999.694041391,7230496.085774475,18662075
205000.198241126,7230495.944497745,18662075
205000.068254434,7230494.624849313,18662075
205000.636310098,7230494.466270922,18662075
205001.141942063,7230494.325118728,18662075
205000.695451283,7230493.089504241,18662075
205001.265026992,7230492.93018241,18662075
205001.769062482,7230492.789193503,18662075
205001.335356597,7230491.548697866,18662075
205001.902090708,7230491.390044125,18662075
205002.404813528,7230491.249309953,18662075
205001.968511845,7230490.008507706,18662075
205002.537408822,7230489.849257229,18662075
205002.071788904,7230488.619863532,18662075
205002.547971873,7230488.486713447,18662075
205003.116268924,7230488.327806458,18662075
205003.618993238,7230488.187234892,18662075
205003.164517272,7230486.951343782,18662075
205003.725615199,7230486.794308616,18662075
205003.221398024,7230485.579954751,18662075
205003.78794588,7230485.421912342,18662075
205004.356054475,7230485.263434556,18662075
205003.859879592,7230484.041973398,18662075
205004.424211592,7230483.884386689,18662075
205004.988543592,7230483.72679998,18662075
205004.506407803,7230482.49978005,18662075
205005.00847824,7230482.359474805,18662075
205005.579368302,7230482.199937688,18662075
205005.129671847,7230480.971519736,18662075
205005.639173196,7230480.829679543,18662075
205005.510332282,7230479.507421208,18662075
205005.758063332,7230479.441098507,18662075
205006.262189605,7230479.300553404,18662075
205006.103459765,7230477.983586576,18662075
205006.670202319,7230477.825402131,18662075
205007.236944872,7230477.667217687,18662075
205006.717925788,7230476.450494401,18662075
205007.283574513,7230476.29230751,18662075
205007.847660673,7230476.1345576,18662075
205007.348166549,7230474.910943569,18662075
205007.914459988,7230474.752527668,18662075
205008.480753428,7230474.594111768,18662075
205008.012427904,7230473.364618603,18662075
205008.516944462,7230473.223540113,18662075
205009.083939851,7230473.064990603,18662075
205008.64083147,7230471.82472878,18662075
205009.149058374,7230471.682445335,18662075
205009.718272505,7230471.523087877,18662075
205009.285158638,7230470.2863862,18662075
205009.791049799,7230470.14507307,18662075
205010.353151089,7230469.98805848,18662075
205009.876154671,7230468.758877262,18662075
205010.444450217,7230468.599764278,18662075
205010.945611949,7230468.459447609,18662075
205010.463774856,7230467.227307561,18662075
205011.033108121,7230467.067651172,18662075
205011.53987729,7230466.92553944,18662075
205011.072401523,7230465.692571659,18662075
205011.637589716,7230465.53408617,18662075
205012.140326175,7230465.393112889,18662075
205011.671069717,7230464.162296233,18662075
205012.23149299,7230464.005278565,18662075
205011.724710553,7230462.786155574,18662075
205012.290109131,7230462.627595834,18662075
205012.855507709,7230462.469036093,18662075
205012.348062792,7230461.247539191,18662075
205012.913152424,7230461.089083006,18662075
205013.450143676,7230460.938505858,18662075
205012.999659173,7230459.698492499,18662075
205013.562287326,7230459.540281245,18662075
205014.061015882,7230459.400038582,18662075
205013.91478235,7230458.071268839,18662075
205014.480987021,7230457.91178077,18662075
205013.937468735,7230456.693371834,18662075
205014.500866262,7230456.5345406,18662075
205015.068945763,7230456.374389438,18662075
205014.55049284,7230455.150614136,18662075
205015.117059238,7230454.991040577,18662075
205015.677382481,7230454.833225406,18662075
205015.148671425,7230453.604246595,18662075
205015.716100741,7230453.44388068,18662075
205016.280403726,7230453.284398325,18662075
205015.756338061,7230452.050300599,18662075
205016.266105851,7230451.905847583,18662075
205016.832167016,7230451.7454427,18662075
205016.284152803,7230450.521180483,18662075
205016.854254103,7230450.359681952,18662075
205017.419669639,7230450.199510805,18662075
205016.897780205,7230448.959997999,18662075
205017.465967467,7230448.798590548,18662075
205018.03102422,7230448.638072396,18662075
205017.557124502,7230447.392301141,18662075
205018.060271495,7230447.249693002,18662075
205018.621233516,7230447.090698213,18662075
205018.12007914,7230445.842211156,18662075
205018.626001819,7230445.698307761,18662075
205019.194577462,7230445.536583512,18662075
205018.707785459,7230444.265362957,18662075
205019.279700476,7230444.101603067,18662075
205019.793321126,7230443.954534956,18662075
205019.286923802,7230442.697675986,18662075
205019.851642705,7230442.536305063,18662075
205019.308325178,7230441.288260719,18662075
205019.882873124,7230441.124472058,18662075
205020.455842641,7230440.961133366,18662075
205019.884205732,7230439.710644398,18662075
205020.455194963,7230439.547208786,18662075
205021.024602506,7230439.384225904,18662075
205020.455503857,7230438.121348186,18662075
205021.032370958,7230437.955619263,18662075
205020.825857237,7230436.591515212,18662075
205021.076991904,7230436.51944746,18662075
205021.585619078,7230436.373487456,18662075
205021.390894382,7230435.009020032,18662075
205021.643539046,7230434.936638974,18662075
205022.153595255,7230434.790511175,18662075
205021.954914999,7230433.423545278,18662075
205022.526145896,7230433.2597681,18662075
205023.10215031,7230433.094622311,18662075
